183, 86, 206, 99
183, 109, 203, 125
189, 140, 233, 184
265, 93, 291, 127
249, 144, 276, 168
286, 142, 336, 166
334, 113, 347, 127
338, 128, 415, 164
400, 101, 456, 122
183, 196, 330, 264
334, 188, 458, 272
467, 206, 535, 255
524, 11, 587, 172
293, 309, 309, 321
293, 323, 309, 335
293, 337, 309, 349
293, 369, 309, 381
293, 395, 309, 407
323, 294, 357, 336
396, 302, 428, 369
454, 288, 506, 430
293, 459, 466, 507
370, 569, 424, 637
437, 541, 453, 553
436, 555, 517, 638
520, 567, 552, 634
516, 440, 554, 516
570, 433, 586, 445
570, 460, 640, 572
615, 138, 664, 177
668, 135, 693, 186
695, 120, 750, 172
786, 65, 842, 242
844, 141, 1069, 161
843, 241, 995, 254
578, 216, 714, 303
646, 384, 684, 460
650, 591, 684, 625
734, 337, 753, 354
696, 368, 726, 388
717, 397, 747, 417
722, 422, 742, 450
715, 457, 750, 484
715, 491, 750, 531
694, 575, 733, 609
747, 592, 763, 604
738, 608, 808, 661
850, 616, 882, 685
899, 620, 933, 708
1005, 335, 1019, 536
1023, 335, 1061, 536
839, 332, 999, 345
839, 526, 999, 539
936, 620, 984, 667
977, 669, 1039, 709
1054, 629, 1086, 696
1055, 596, 1086, 614
834, 349, 841, 524
779, 693, 791, 709
