183, 86, 206, 99, 194, 92
183, 109, 203, 125, 193, 117
189, 140, 233, 184, 211, 162
265, 93, 291, 127, 278, 110
249, 144, 276, 168, 262, 156
286, 142, 336, 166, 311, 154
334, 113, 347, 127, 340, 120
338, 128, 415, 164, 376, 146
400, 101, 456, 122, 428, 111
183, 196, 330, 264, 256, 230
334, 188, 458, 272, 396, 230
467, 206, 535, 255, 501, 230
524, 11, 587, 172, 555, 91
293, 309, 309, 321, 301, 315
293, 323, 309, 335, 301, 329
293, 337, 309, 349, 301, 343
293, 369, 309, 381, 301, 375
293, 395, 309, 407, 301, 401
323, 294, 357, 336, 340, 315
396, 302, 428, 369, 412, 335
454, 288, 506, 430, 480, 359
293, 459, 466, 507, 379, 483
370, 569, 424, 637, 397, 603
437, 541, 453, 553, 445, 547
436, 555, 517, 638, 476, 596
520, 567, 552, 634, 536, 600
516, 440, 554, 516, 535, 478
570, 433, 586, 445, 578, 439
570, 460, 640, 572, 605, 516
615, 138, 664, 177, 639, 157
668, 135, 693, 186, 680, 160
695, 120, 750, 172, 722, 146
786, 65, 842, 242, 814, 153
844, 141, 1069, 161, 956, 151
843, 241, 995, 254, 919, 247
578, 216, 714, 303, 646, 259
646, 384, 684, 460, 665, 422
650, 591, 684, 625, 667, 608
734, 337, 753, 354, 743, 345
696, 368, 726, 388, 711, 378
717, 397, 747, 417, 732, 407
722, 422, 742, 450, 732, 436
715, 457, 750, 484, 732, 470
715, 491, 750, 531, 732, 511
694, 575, 733, 609, 713, 592
747, 592, 763, 604, 755, 598
738, 608, 808, 661, 773, 634
850, 616, 882, 685, 866, 650
899, 620, 933, 708, 916, 664
1005, 335, 1019, 536, 1012, 435
1023, 335, 1061, 536, 1042, 435
839, 332, 999, 345, 919, 338
839, 526, 999, 539, 919, 532
936, 620, 984, 667, 960, 643
977, 669, 1039, 709, 1008, 689
1054, 629, 1086, 696, 1070, 662
1055, 596, 1086, 614, 1070, 605
834, 349, 841, 524, 837, 436
779, 693, 791, 709, 785, 701
